anime_id,anime_name,genres,num_genres,assigned_communities,all_community_names,confidence,is_bridge,communities_spanned,community_distribution
71,Full Metal Panic!,"Action, Military, Sci-Fi, Comedy, Mecha",5,1,Action & Adventure,0.8,False,2,"{1: 4, 2: 1}"
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",3,2,Romance & Slice of Life,0.6666666666666666,False,2,"{1: 1, 2: 2}"
73,Full Metal Panic! The Second Raid,"Action, Military, Mecha",3,1,Action & Adventure,1.0,False,1,{1: 3}
74,Gakuen Alice,"Comedy, School, Shoujo, Super Power",4,2,Romance & Slice of Life,0.75,False,2,"{2: 3, 1: 1}"
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",5,1,Action & Adventure,0.6,False,3,"{1: 3, 2: 1, 3: 1}"
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama, Magic, Super Power",5,1,Action & Adventure,0.6,False,3,"{1: 3, 2: 1, 3: 1}"
79,Shuffle!,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",9,2,Romance & Slice of Life,0.6666666666666666,False,3,"{2: 6, 3: 1, 1: 2}"
80,Mobile Suit Gundam,"Action, Military, Sci-Fi, Space, Mecha",5,1,Action & Adventure,1.0,False,1,{1: 5}
81,Mobile Suit Gundam: The 08th MS Team,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",6,1,Action & Adventure,0.6666666666666666,False,3,"{1: 4, 3: 1, 2: 1}"
82,Mobile Suit Gundam 0080: War in the Pocket,"Military, Sci-Fi, Space, Drama, Mecha",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"Military, Sci-Fi, Drama, Romance, Mecha",5,1,Action & Adventure,0.6,False,3,"{1: 3, 3: 1, 2: 1}"
84,Mobile Suit Gundam 0083: Stardust Memory,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",7,1,Action & Adventure,0.7142857142857143,False,3,"{1: 5, 3: 1, 2: 1}"
85,Mobile Suit Zeta Gundam,"Military, Sci-Fi, Space, Drama, Romance, Mecha",6,1,Action & Adventure,0.6666666666666666,False,3,"{1: 4, 3: 1, 2: 1}"
86,Mobile Suit Gundam ZZ,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",6,1,Action & Adventure,0.6666666666666666,False,3,"{1: 4, 2: 1, 3: 1}"
87,Mobile Suit Gundam: Char's Counterattack,"Military, Sci-Fi, Space, Drama, Mecha",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
88,Mobile Suit Gundam F91,"Drama, Mecha, Military, Sci-Fi, Space",5,1,Action & Adventure,0.8,False,2,"{3: 1, 1: 4}"
89,Mobile Suit Victory Gundam,"Drama, Mecha, Military, Sci-Fi, Space",5,1,Action & Adventure,0.8,False,2,"{3: 1, 1: 4}"
90,Mobile Suit Gundam Wing,"Action, Military, Sci-Fi, Space, Drama, Mecha",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 3: 1}"
91,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 3: 1}"
92,After War Gundam X,"Sci-Fi, Adventure, Space, Drama, Mecha",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
93,Mobile Suit Gundam SEED,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",7,1,Action & Adventure,0.7142857142857143,False,3,"{1: 5, 3: 1, 2: 1}"
94,Mobile Suit Gundam SEED Destiny,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",7,1,Action & Adventure,0.7142857142857143,False,3,"{1: 5, 3: 1, 2: 1}"
95,Turn A Gundam,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",8,1,Action & Adventure,0.75,False,3,"{1: 6, 3: 1, 2: 1}"
96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",9,1,Action & Adventure,0.5555555555555556,False,3,"{1: 5, 2: 3, 3: 1}"
97,Last Exile,"Action, Sci-Fi, Adventure",3,1,Action & Adventure,1.0,False,1,{1: 3}
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",9,1,Action & Adventure,0.4444444444444444,False,3,"{1: 4, 2: 4, 3: 1}"
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic",4,1,Action & Adventure,0.5,False,3,"{2: 1, 3: 1, 1: 2}"
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",7,2,Romance & Slice of Life,0.42857142857142855,False,3,"{2: 3, 3: 1, 1: 3}"
101,Air,"Slice of Life, Supernatural, Drama, Romance",4,"2, 3","Romance & Slice of Life, Dark & Psychological",0.5,True,2,"{2: 2, 3: 2}"
102,Aishiteruze Baby★★,"Comedy, Drama, Romance, Shoujo",4,2,Romance & Slice of Life,0.75,False,2,"{2: 3, 3: 1}"
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",6,"1, 2","Action & Adventure, Romance & Slice of Life",0.5,True,2,"{1: 3, 2: 3}"
104,Ayashi no Ceres,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",8,3,Dark & Psychological,0.5,False,3,"{1: 1, 2: 3, 3: 4}"
105,Boys Be...,"Slice of Life, Comedy, Romance, Shounen",4,2,Romance & Slice of Life,0.75,False,2,"{2: 3, 1: 1}"
106,Hana yori Dango,"Drama, Romance, School, Shoujo",4,2,Romance & Slice of Life,0.75,False,2,"{3: 1, 2: 3}"
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",5,1,Action & Adventure,0.8,False,2,"{1: 4, 2: 1}"
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Fantasy, Psychological, Comedy, Shounen",5,1,Action & Adventure,0.6,False,3,"{1: 3, 3: 1, 2: 1}"
109,Bakuretsu Tenshi,"Adventure, Comedy, Mecha, Sci-Fi",4,1,Action & Adventure,0.75,False,2,"{1: 3, 2: 1}"
110,Chuuka Ichiban!,"Action, Comedy, Drama, Shounen",4,1,Action & Adventure,0.5,False,3,"{1: 2, 2: 1, 3: 1}"
111,Corrector Yui,"Sci-Fi, Adventure, Comedy, Magic",4,1,Action & Adventure,0.75,False,2,"{1: 3, 2: 1}"
112,Chou Henshin Cosprayers,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",8,1,Action & Adventure,0.75,False,2,"{1: 6, 2: 2}"
113,Uchuu no Stellvia,"Action, Mecha, Romance, Sci-Fi, Space",5,1,Action & Adventure,0.8,False,2,"{1: 4, 2: 1}"
114,Sakigake!! Cromartie Koukou,"Comedy, School, Shounen",3,2,Romance & Slice of Life,0.6666666666666666,False,2,"{2: 2, 1: 1}"
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",3,1,Action & Adventure,0.6666666666666666,False,2,"{1: 2, 2: 1}"
116,El Hazard: The Wanderers,"Adventure, Comedy, Romance, Fantasy",4,"1, 2","Action & Adventure, Romance & Slice of Life",0.5,True,2,"{1: 2, 2: 2}"
117,El Hazard: The Magnificent World,"Adventure, Comedy, Romance, Fantasy",4,"1, 2","Action & Adventure, Romance & Slice of Life",0.5,True,2,"{1: 2, 2: 2}"
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",3,1,Action & Adventure,0.6666666666666666,False,2,"{1: 2, 2: 1}"
119,Final Approach,"Comedy, Drama, Romance, Slice of Life",4,2,Romance & Slice of Life,0.75,False,2,"{2: 3, 3: 1}"
120,Fruits Basket,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",6,2,Romance & Slice of Life,0.6666666666666666,False,2,"{2: 4, 3: 2}"
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",8,1,Action & Adventure,0.75,False,3,"{1: 6, 2: 1, 3: 1}"
122,Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",6,2,Romance & Slice of Life,0.5,False,3,"{4: 1, 2: 3, 3: 2}"
123,Fushigi Yuugi,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",9,1,Action & Adventure,0.4444444444444444,False,3,"{1: 4, 2: 3, 3: 2}"
124,Fushigi Yuugi: Eikouden,"Adventure, Fantasy, Romance, Drama, Shoujo",5,1,Action & Adventure,0.4,False,3,"{1: 2, 2: 2, 3: 1}"
125,Futakoi,"Comedy, Romance, School",3,2,Romance & Slice of Life,1.0,False,1,{2: 3}
126,Futakoi Alternative,"Comedy, Drama, Romance",3,2,Romance & Slice of Life,0.6666666666666666,False,2,"{2: 2, 3: 1}"
127,Gate Keepers,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 2: 1}"
128,Gate Keepers 21,"Action, Drama, Mecha, Sci-Fi, Shounen",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",7,1,Action & Adventure,0.42857142857142855,False,3,"{1: 3, 2: 1, 3: 3}"
130,Saiyuuki Reload,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",7,3,Dark & Psychological,0.5714285714285714,False,3,"{1: 2, 2: 1, 3: 4}"
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",7,3,Dark & Psychological,0.5714285714285714,False,3,"{1: 2, 2: 1, 3: 4}"
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",7,1,Action & Adventure,0.42857142857142855,False,3,"{1: 3, 2: 1, 3: 3}"
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life",5,2,Romance & Slice of Life,1.0,False,1,{2: 5}
134,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi",5,1,Action & Adventure,0.6,False,2,"{1: 3, 3: 2}"
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",4,1,Action & Adventure,0.5,False,3,"{2: 1, 1: 2, 3: 1}"
136,Hunter x Hunter,"Action, Adventure, Super Power, Fantasy, Shounen",5,1,Action & Adventure,1.0,False,1,{1: 5}
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Super Power, Shounen",4,1,Action & Adventure,1.0,False,1,{1: 4}
138,Hunter x Hunter: Greed Island,"Action, Adventure, Super Power, Fantasy, Shounen",5,1,Action & Adventure,1.0,False,1,{1: 5}
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Super Power, Fantasy, Shounen",5,1,Action & Adventure,1.0,False,1,{1: 5}
141,Jinki:Extend,"Mecha, Sci-Fi",2,1,Action & Adventure,1.0,False,1,{1: 2}
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",9,"1, 2, 3","Action & Adventure, Romance & Slice of Life, Dark & Psychological",0.3333333333333333,True,3,"{1: 3, 2: 3, 3: 3}"
143,Kannazuki no Miko,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",7,1,Action & Adventure,0.42857142857142855,False,3,"{3: 2, 1: 3, 2: 2}"
144,Kanon,"Drama, Romance, Slice of Life, Supernatural",4,"2, 3","Romance & Slice of Life, Dark & Psychological",0.5,True,2,"{3: 2, 2: 2}"
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",6,2,Romance & Slice of Life,0.8333333333333334,False,2,"{2: 5, 3: 1}"
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",6,2,Romance & Slice of Life,0.5,False,3,"{1: 2, 2: 3, 3: 1}"
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life",3,2,Romance & Slice of Life,0.6666666666666666,False,2,"{3: 1, 2: 2}"
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",3,2,Romance & Slice of Life,0.6666666666666666,False,2,"{3: 1, 2: 2}"
149,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",8,3,Dark & Psychological,0.5,False,3,"{1: 2, 3: 4, 2: 2}"
150,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",7,3,Dark & Psychological,0.7142857142857143,False,2,"{1: 2, 3: 5}"
151,Re: Cutey Honey,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",5,2,Romance & Slice of Life,0.6,False,2,"{1: 2, 2: 3}"
152,Solty Rei,"Action, Sci-Fi, Super Power",3,1,Action & Adventure,1.0,False,1,{1: 3}
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
154,Shaman King,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",6,1,Action & Adventure,0.6666666666666666,False,3,"{1: 4, 2: 1, 3: 1}"
155,X/1999,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",7,1,Action & Adventure,0.5714285714285714,False,2,"{1: 4, 3: 3}"
156,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",7,1,Action & Adventure,0.5714285714285714,False,3,"{1: 4, 3: 1, 2: 2}"
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",10,2,Romance & Slice of Life,0.5,False,3,"{2: 5, 1: 4, 3: 1}"
158,Maria-sama ga Miteru,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",5,2,Romance & Slice of Life,0.8,False,2,"{2: 4, 3: 1}"
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",9,1,Action & Adventure,0.6666666666666666,False,2,"{1: 6, 3: 3}"
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen",5,1,Action & Adventure,0.4,False,3,"{1: 2, 2: 1, 3: 2}"
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen",6,2,Romance & Slice of Life,0.5,False,3,"{2: 3, 1: 2, 4: 1}"
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen",5,1,Action & Adventure,0.6,False,3,"{1: 3, 2: 1, 3: 1}"
164,Mononoke Hime,"Action, Adventure, Fantasy",3,1,Action & Adventure,1.0,False,1,{1: 3}
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",8,1,Action & Adventure,0.375,False,4,"{1: 3, 3: 3, 4: 1, 2: 1}"
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi",4,"1, 3","Action & Adventure, Dark & Psychological",0.5,True,2,"{3: 2, 1: 2}"
167,Scrapped Princess,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",7,1,Action & Adventure,0.7142857142857143,False,3,"{1: 5, 2: 1, 3: 1}"
168,s.CRY.ed,"Action, Sci-Fi, Adventure, Super Power, Drama",5,1,Action & Adventure,0.8,False,2,"{1: 4, 3: 1}"
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",7,3,Dark & Psychological,0.5714285714285714,False,3,"{1: 2, 3: 4, 2: 1}"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",5,2,Romance & Slice of Life,0.6,False,3,"{2: 3, 3: 1, 1: 1}"
171,Strange Dawn,"Adventure, Drama, Fantasy",3,1,Action & Adventure,0.6666666666666666,False,2,"{1: 2, 3: 1}"
173,Tactics,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",7,3,Dark & Psychological,0.7142857142857143,False,3,"{3: 5, 2: 1, 1: 1}"
174,Tenjou Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",7,1,Action & Adventure,0.5714285714285714,False,2,"{1: 4, 2: 3}"
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 2: 1}"
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance",2,"1, 2","Action & Adventure, Romance & Slice of Life",0.5,True,2,"{1: 1, 2: 1}"
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",7,1,Action & Adventure,0.7142857142857143,False,3,"{1: 5, 2: 1, 3: 1}"
178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo",5,2,Romance & Slice of Life,0.8,False,2,"{2: 4, 1: 1}"
179,Ultra Maniac OVA,"Comedy, Magic, Romance, School",4,2,Romance & Slice of Life,0.75,False,2,"{2: 3, 1: 1}"
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 2: 1}"
181,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",6,1,Action & Adventure,0.8333333333333334,False,2,"{1: 5, 2: 1}"
182,Tenkuu no Escaflowne,"Adventure, Psychological, Romance, Fantasy, Mecha",5,1,Action & Adventure,0.6,False,3,"{1: 3, 3: 1, 2: 1}"
183,Whistle!,"School, Shounen, Sports",3,2,Romance & Slice of Life,0.6666666666666666,False,2,"{2: 2, 1: 1}"
184,Xenosaga The Animation,"Action, Mecha, Sci-Fi, Shounen, Space",5,1,Action & Adventure,1.0,False,1,{1: 5}
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",5,2,Romance & Slice of Life,0.4,False,4,"{1: 1, 4: 1, 3: 1, 2: 2}"
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports",5,2,Romance & Slice of Life,0.4,False,4,"{1: 1, 4: 1, 3: 1, 2: 2}"
187,Initial D Third Stage,"Action, Cars, Sports, Drama, Romance, Seinen",6,2,Romance & Slice of Life,0.5,False,4,"{1: 1, 4: 1, 2: 3, 3: 1}"
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",6,2,Romance & Slice of Life,0.8333333333333334,False,2,"{2: 5, 1: 1}"
190,Love Hina Again,"Comedy, Drama, Ecchi, Romance, Shounen",5,2,Romance & Slice of Life,0.6,False,3,"{2: 3, 3: 1, 1: 1}"
191,Love Hina Christmas Special: Silent Eve,"Slice of Life, Comedy, Romance",3,2,Romance & Slice of Life,1.0,False,1,{2: 3}
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",3,2,Romance & Slice of Life,0.6666666666666666,False,2,"{1: 1, 2: 2}"
193,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",7,2,Romance & Slice of Life,0.7142857142857143,False,3,"{2: 5, 3: 1, 1: 1}"
